title,org,level,term,closing_date,posted_date
"Senior Manager / Manager (Cybersecurity, Medical Devices)",Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Senior Manager / Manager / Assistant Manager (Biomedical Research Regulation),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Manager / Assistant Manager (Hospitals & Ambulatory Care),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Senior / Executive (Licensing Application & Screening),Ministry of Health,Entry level,Contract,Closing on 10 Apr 2022,Today
"Business Partner/ Senior Business Partner, People & Culture (1-year contract)",Enterprise Singapore,Entry level,Contract,Closing on 27 Mar 2022,Today
Senior Manager / Manager (Ops & Liaison) (1-Year Contract),Ministry of Health,Entry level,Contract,Closing on 10 Apr 2022,Today
Senior Manager / Manager / Assistant Manager (Training Development & Standards),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Senior Manager / Manager (Professional Training and Assessment Standards),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Manager / Deputy Manager (Operations Development and Readiness),Civil Aviation Authority of Singapore,02-10 year(s),Contract,Closing on 31 Mar 2022,Today
Executive Engineer / Engineer (Systems and Engineering),Civil Aviation Authority of Singapore,02-10 year(s),Contract,Closing on 31 Mar 2022,Today
Senior Executive / Executive (Training Development & Standards),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Manager / Assistant Manager (Training Systems & Operations),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Assistant Director (DC Secretariat / Legal),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
"Business Partner/Senior Business Partner, Records Custodian",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 27 Mar 2022,Today
MOH Contingency Task Force (CTF) Secretariat (1-Year Contract),Ministry of Health,Entry level,Contract,Closing on 10 Apr 2022,Today
Senior Manager / Manager (Surveillance and Enforcement) - Intel,Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Manager / Assistant Manager (Financial Control and Reporting),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
"Senior / Health Policy Analyst (Reg. Policy, Clinical Services) - Health Info",Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Senior Manager / Manager (Care Integration),Ministry of Health,Entry level,Permanent/Contract,Closing on 10 Apr 2022,Today
Cybersecurity Specialist (Data Security),Government Technology Agency,Entry level,Fixed Terms,Closing in 6  day(s),2 week(s) ago
"PRINCIPAL / SENIOR EXECUTIVE, OPERATIONS (VEHICLE LICENSING OPERATIONS)",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"Lead Engineer/Engineer(Incident Response and Threat Management),MHA Security Ops",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
Project Manager (New Estates),JTC Corporation,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
Project Manager (Reclamation) - 2-year contract,JTC Corporation,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
"ENGINEER, TRAFFIC, STREET & COMMUTER FACILITIES LIGHTING",Land Transport Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"MANAGER / DEPUTY MANAGER / ASSISTANT MANAGER, IT SYSTEMS",Land Transport Authority,04-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
"Auditor, Internal Audit",Enterprise Singapore,Entry level,Permanent/Contract,Closing on 26 Mar 2022,2 day(s) ago
"Principal Executive, Geospatial Service & Planning (11 Months Contract)",Singapore Land Authority,Entry level,Contract,Closing on 28 Mar 2022,2 week(s) ago
"MANAGER, DATA GOVERNANCE",Land Transport Authority,06-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
EXECUTIVE SOFTWARE ENGINEER / SOFTWARE ENGINEER (AI PLATFORMS),Land Transport Authority,02-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
Manager/ Executive Manager (Digital Communications),Urban Redevelopment Authority,Entry level,Permanent/Contract,Closing on 31 Mar 2022,2 week(s) ago
SENIOR PROJECT ENGINEER / EXECUTIVE PROJECT ENGINEER,Land Transport Authority,05-00 year(s),Contract,Closing on 24 Mar 2022,2 week(s) ago
MANAGER (DIGITAL),Land Transport Authority,08-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
SENIOR ARCHITECT / EXECUTIVE ARCHITECT,Land Transport Authority,04-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
"DEPUTY MANAGER/ ASSISTANT MANAGER, NATIONAL ELECTRIC VEHICLE CENTRE",Land Transport Authority,Entry level,Contract,Closing on 24 Mar 2022,2 week(s) ago
PRINCIPAL / SENIOR ARCHITECTURAL ASSISTANT,Land Transport Authority,05-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
Safe Distancing Ambassadors ( 3 Months Contract),Singapore Land Authority,Entry level,Casual,Closing on 28 Mar 2022,2 week(s) ago
"MANAGER / DEPUTY / ASSISTANT MANAGER, DATA ANALYSIS",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
PRINCIPAL / SENIOR REGULATORY ENFORCEMENT OFFICER,Land Transport Authority,02-00 year(s),Permanent/Contract,Closing on 24 Mar 2022,2 week(s) ago
